%              t      Ex(x=4.8m)     Ex(x=10.5m)      Ex(x=100m)      Ex(x=200m)      Ex(x=300m)
   1.1428571e-01   1.0447141e-09   1.0461114e-09   1.0460346e-09   1.0434779e-09   1.0395502e-09
   1.2142857e-01   9.5499198e-10   9.5621297e-10   9.5616527e-10   9.5396526e-10   9.5057804e-10
   1.2857143e-01   8.7713788e-10   8.7821431e-10   8.7819011e-10   8.7628182e-10   8.7333822e-10
   1.3571429e-01   8.0910159e-10   8.1005818e-10   8.1005279e-10   8.0838597e-10   8.0581008e-10
   1.4285714e-01   7.4925878e-10   7.5011510e-10   7.5012500e-10   7.4865973e-10   7.4639125e-10
   1.5000000e-01   6.9630978e-10   6.9708175e-10   6.9710391e-10   6.9580835e-10   6.9379900e-10
   1.5714286e-01   6.4920521e-10   6.4990544e-10   6.4993771e-10   6.4878609e-10   6.4699672e-10
   1.6428571e-01   6.0709010e-10   6.0772899e-10   6.0776962e-10   6.0674085e-10   6.0513959e-10
   1.7142857e-01   5.6926249e-10   5.6984863e-10   5.6989621e-10   5.6897293e-10   5.6753355e-10
   1.7857143e-01   5.3514145e-10   5.3568193e-10   5.3573517e-10   5.3490323e-10   5.3360376e-10
   1.8571429e-01   5.0424284e-10   5.0474346e-10   5.0480150e-10   5.0404884e-10   5.0287128e-10
   1.9285714e-01   4.7616024e-10   4.7662617e-10   4.7668825e-10   4.7600486e-10   4.7493390e-10
   2.0000000e-01   4.5055078e-10   4.5098618e-10   4.5105158e-10   4.5042899e-10   4.4945168e-10
